"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXM00076243","1996","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","30","S","23","S","148.3",",S,1124,","451.1",",S"
"MXM00076243","1997","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","49","S","30","S","73.9",",S,0625,","519.7",",S"
"MXM00076243","2001","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","36","S","25","S","176.0",",S,0910,","439.0",",S"
"MXM00076243","2006","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","29","S","11","S","59.9",",S,0515,","251.8",",S"
"MXM00076243","2007","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","53","S","36","S","99.1",",S,0929,","592.5",",S"
"MXM00076243","2008","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","32","S","13","S","86.1",",S,0517,","261.8",",S"
"MXM00076243","2011","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","23","S","14","S","22.6",",S,1010,","144.1",",S"
"MXM00076243","2012","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","29","S","14","S","23.4",",S,0515,","132.3",",S"
"MXM00076243","2013","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","35","S","19","S","160.3",",S,0615,","452.4",",S"
"MXM00076243","2014","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","32","S","18","S","51.1",",S,0620,","190.9",",S"
"MXM00076243","2016","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","34","S","15","S","33.0",",S,1203,","220.8",",S"
"MXM00076243","2017","28.627","-100.535","274.6","PIEDRAS NEGRAS INTERNATIONAL, MX","36","S","17","S","46.0",",S,0928,","269.4",",S"
