"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CHLR","2003","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","371.3","","371.3","U","0","U","11","U","0","U","211","U","47","U","-2.2","U,1123,","41.1","U,0921,+","0.0","U,1104","-2.2","U,1123","","","-0.6","U,0209","","","","","","","","","15.72","U","23.55","U","7.88","U"
"USR0000CHLR","2004","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","283.7","","283.7","U","0","U","18","U","0","U","227","U","35","U","-2.8","U,1202,+","40.0","U,0906,","0.0","U,1122","-2.8","U,1129","","","0.0","U,0211","","","","","1262.6","","1262.6","U","15.46","U","23.11","U","7.80","U"
"USR0000CHLR","2005","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","226.7","","226.7","U","0","U","8","U","0","U","231","U","28","U","-0.6","U,1204,","40.0","U,0723,","0.0","U,1127","","","","","0.0","U,0115","","","","","1380.0","","1380.0","U","15.54","U","23.10","U","7.99","U"
"USR0000CHLR","2006","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1312.5","","1312.5","","","","","","",""
"USR0000CHLR","2007","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","243.6","","243.6","U","0","U","28","U","0","U","231","U","28","U","-5.6","U,0113,","38.9","U,0902,","0.0","U,1124","","","","","0.0","U,0301","-2.2","U,0118","-4.4","U,0116","","","","","15.10","U","23.11","U","7.08","U"
"USR0000CHLR","2008","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","363.2","","363.2","U","0","U","16","U","0","U","229","U","57","U","-1.1","U,1218,","42.2","U,0620,","0.0","U,1209","","","","","0.0","U,0331","","","","","1545.6","","1545.6","U","15.31","U","23.63","U","6.99","U"
"USR0000CHLR","2009","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1348.1","","1348.1","U","","","","","",""
"USR0000CHLR","2010","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","178.7","","178.7","U","0","U","8","U","0","U","180","U","18","U","-2.8","U,1125,","42.8","U,0824,","-0.6","U,1124","-2.8","U,1125","","","","","","","","","","","","","14.40","U","21.12","U","7.69","U"
"USR0000CHLR","2011","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","172.3","","172.3","U","0","U","24","U","0","U","175","U","19","U","-2.8","U,1224,+","37.8","U,0703,","-1.1","U,1204","-2.8","U,1223","","","0.0","U,0301","-2.2","U,0110","","","1682.7","","1682.7","U","14.15","U","21.18","U","7.12","U"
"USR0000CHLR","2012","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","206.5","","206.5","U","0","U","7","U","0","U","206","U","24","U","-4.4","U,0117,","41.1","U,1002,","-1.1","U,1220","","","","","-0.6","U,0307","-3.3","U,0118","-4.4","U,0117","1556.3","","1556.3","U","14.86","U","22.07","U","7.65","U"
"USR0000CHLR","2013","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","266.0","","266.0","U","0","U","22","U","0","U","240","U","24","U","-5.6","U,1205,","37.8","U,0629,","-2.2","U,1204","-2.2","U,1204","-5.6","U,1205","-0.6","U,0210","-2.2","U,0115","","","1389.5","","1389.5","U","15.17","U","22.82","U","7.51","U"
"USR0000CHLR","2014","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","346.5","","346.5","U","0","U","1","U","0","U","240","U","30","U","0.0","U,1227,","38.3","U,1004,+","0.0","U,1227","","","","","","","","","","","1182.7","","1182.7","U","16.59","U","23.59","U","9.59","U"
"USR0000CHLR","2015","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","388.4","","388.4","U","0","U","14","U","0","U","226","U","33","U","-2.8","U,0101,","39.4","U,0909,","0.0","U,1126","-2.2","U,1227","","","-0.6","U,0103","-2.8","U,0101","","","1055.0","","1055.0","U","16.01","U","23.21","U","8.82","U"
"USR0000CHLR","2016","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","216.8","","216.8","U","0","U","6","U","0","U","216","U","27","U","-2.8","U,1218,","38.9","U,0926,+","0.0","U,1217","-2.8","U,1218","","","-0.6","U,0101","","","","","1205.6","","1205.6","U","15.63","U","22.52","U","8.74","U"
"USR0000CHLR","2017","36.8422","-121.3622","123.1","HOLLISTER CALIFORNIA, CA US","398.3","","398.3","U","0","U","7","U","0","U","215","U","42","U","-1.7","U,1222,+","45.0","U,0902,","0.0","U,1206","","","","","0.0","U,0224","","","","","1307.9","","1307.9","U","16.00","U","23.07","U","8.92","U"
