"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COJA","2001","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","345.0","","345.0","U","0","U","19","U","0","U","218","U","31","U","-2.2","U,0117,","41.1","U,0825,","0.0","U,1128","","","0.0","U,0408","-2.2","U,0117","","","1440.1","","1440.1","U","15.46","U","22.33","U","8.59","U"
"USR0000COJA","2002","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","327.3","","327.3","U","0","U","19","U","0","U","216","U","36","U","-2.8","U,0131,","37.8","U,0923,+","0.0","U,1219","","","0.0","U,0316","-2.2","U,0201","","","1410.5","","1410.5","U","15.31","U","22.69","U","7.93","U"
"USR0000COJA","2003","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","542.6","","542.6","U","0","U","10","U","0","U","219","U","58","U","-2.2","U,1228,","37.2","U,1021,+","-1.1","U,1123","-2.2","U,1228","0.0","U,0209","","","","","1255.5","","1255.5","U","16.30","U","23.64","U","8.97","U"
"USR0000COJA","2004","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","377.2","","377.2","U","0","U","16","U","0","U","228","U","49","U","-6.1","U,0210,","37.2","U,0810,","-2.2","U,1129","-2.2","U,1129","0.0","U,0213","-6.1","U,0210","-6.1","U,0210","1196.6","","1196.6","U","15.82","U","23.28","U","8.37","U"
"USR0000COJA","2005","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","305.0","","305.0","U","0","U","4","U","0","U","227","U","27","U","0.0","U,1207,+","36.1","U,0722,","0.0","U,1205","","","0.0","U,0105","","","","","1338.6","","1338.6","U","15.78","U","22.75","U","8.80","U"
"USR0000COJA","2006","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","434.7","","434.7","U","0","U","24","U","0","U","224","U","45","U","-2.2","U,1229,+","41.1","U,0722,","-1.1","U,1129","-2.2","U,1130","-1.1","U,0313","-2.2","U,0120","","","1359.7","","1359.7","U","15.65","U","23.01","U","8.29","U"
"USR0000COJA","2007","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","373.8","","373.8","U","0","U","33","U","0","U","239","U","36","U","-6.1","U,0113,","38.9","U,0903,+","-1.1","U,1201","-2.2","U,1202","-1.1","U,0301","-2.8","U,0117","-5.0","U,0114","1330.1","","1330.1","U","15.47","U","23.12","U","7.81","U"
"USR0000COJA","2008","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","","","","","","","","","0","U","239","U","62","U","","","41.1","U,0618,","","","","","","","","","","","","","","","","","23.84","U","",""
"USR0000COJA","2009","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","464.7","","464.7","U","0","U","11","U","0","U","239","U","48","U","-2.2","U,1208,","38.9","U,0922,","-2.2","U,1208","-2.2","U,1208","0.0","U,0218","","","","","1178.9","","1178.9","U","16.05","U","23.70","U","8.41","U"
"USR0000COJA","2010","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1386.3","","1386.3","","","","","","",""
"USR0000COJA","2011","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","320.0","","320.0","U","0","U","23","U","0","U","218","U","30","U","-2.2","U,1223,+","37.8","U,0827,","0.0","U,1203","-2.2","U,1206","0.0","U,0409","","","","","","","","","15.28","U","22.59","U","7.98","U"
"USR0000COJA","2012","34.4483","-119.2303","233.2","OJAI CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1277.0","","1277.0","","","","","","",""
